Date,High,Low,Open,Close,Volume,Adj Close
2019-10-28,236.5,226.5,236.0,229.5,536759.0,229.11512756347656
2019-10-29,228.5,222.5,228.5,227.5,606126.0,227.1184844970703
2019-10-30,230.5,223.5,226.5,229.0,230025.0,228.615966796875
2019-10-31,233.0,229.0,230.0,230.5,259151.0,230.11346435546875
2019-11-01,238.0,231.0,233.0,233.0,186604.0,232.6092529296875
2019-11-04,245.0,231.0,238.5,236.0,679467.0,235.60423278808594
2019-11-05,237.0,228.0,236.5,233.0,353564.0,232.6092529296875
2019-11-06,237.0,231.0,233.5,236.0,176147.0,235.60423278808594
2019-11-07,237.5,232.5,236.0,233.5,153485.0,233.10841369628906
2019-11-08,236.5,232.0,233.5,234.0,210022.0,233.6075897216797
2019-11-11,242.5,233.5,234.5,239.5,294894.0,239.09835815429688
2019-11-12,244.0,237.5,240.5,242.0,287369.0,241.5941619873047
2019-11-13,243.5,238.5,242.5,240.5,175674.0,240.09669494628906
2019-11-14,247.0,239.0,241.0,246.0,238298.0,245.58746337890625
2019-11-15,250.0,245.0,246.5,247.0,346378.0,246.5857696533203
2019-11-18,249.5,245.5,247.0,248.0,295622.0,247.5841064453125
2019-11-19,251.5,246.5,248.5,249.5,264767.0,249.0815887451172
2019-11-20,250.5,243.5,250.0,246.5,216324.0,246.0866241455078
2019-11-21,247.5,240.0,246.0,247.0,174309.0,246.5857696533203
2019-11-22,252.5,246.0,247.5,251.0,265016.0,250.57907104492188
2019-11-25,255.5,250.5,251.0,253.5,215404.0,253.0748748779297
2019-11-26,259.0,254.0,254.5,258.0,279891.0,257.56732177734375
2019-11-27,260.0,252.0,259.0,254.0,272743.0,253.5740509033203
2019-11-28,254.0,250.0,254.0,253.0,111609.0,252.57571411132812
2019-11-29,256.0,251.0,253.5,253.0,204539.0,252.57571411132812
2019-12-02,257.5,251.5,254.0,252.5,158929.0,252.07656860351562
2019-12-03,255.5,245.5,254.0,246.5,502863.0,246.0866241455078
2019-12-04,254.0,247.5,247.5,253.5,219789.0,253.0748748779297
2019-12-05,258.5,252.5,254.0,258.0,357390.0,257.56732177734375
2019-12-06,261.5,255.0,258.5,257.5,190776.0,257.06817626953125
2019-12-09,259.5,255.0,257.0,258.5,203686.0,258.0664978027344
2019-12-10,259.0,254.0,259.0,257.5,592943.0,257.06817626953125
2019-12-11,266.0,256.5,257.0,265.0,688572.0,264.55560302734375
2019-12-12,269.0,263.0,265.5,267.0,226885.0,266.55224609375
2019-12-13,273.0,267.5,268.5,272.0,337900.0,271.54388427734375
2019-12-16,276.0,270.0,273.0,275.0,232876.0,274.538818359375
2019-12-17,277.0,272.5,275.5,276.5,305316.0,276.0362854003906
2019-12-18,280.0,273.5,276.5,278.0,277412.0,277.5337829589844
2019-12-19,287.0,278.0,279.5,285.0,311663.0,284.52203369140625
2019-12-20,289.0,276.5,286.0,285.0,917904.0,284.52203369140625
2019-12-23,289.0,281.0,284.5,285.5,198289.0,285.0212097167969
2019-12-27,287.0,280.5,286.0,284.5,381847.0,284.02288818359375
2019-12-30,287.5,279.5,284.5,282.0,376963.0,281.527099609375
2020-01-02,292.5,282.5,282.5,289.5,338087.0,289.0144958496094
2020-01-03,290.5,285.0,289.5,289.0,278479.0,288.5153503417969
2020-01-07,288.5,282.0,287.5,287.0,322684.0,286.5187072753906
2020-01-08,297.0,282.0,285.0,292.5,475503.0,292.00946044921875
2020-01-09,298.5,292.0,293.5,292.5,274256.0,292.00946044921875
2020-01-10,313.5,297.0,297.0,311.0,751941.0,310.47845458984375
2020-01-13,320.0,304.0,312.5,306.0,664420.0,305.4868469238281
2020-01-14,313.0,297.5,307.0,306.5,564547.0,305.9859924316406
2020-01-15,314.5,303.5,307.0,312.5,385218.0,311.9759216308594
2020-01-16,315.0,308.5,313.5,310.0,329116.0,309.4801330566406
2020-01-17,313.0,302.5,306.0,309.5,478051.0,308.98095703125
2020-01-20,313.5,307.5,309.5,312.0,219460.0,311.4767761230469
2020-01-21,311.0,305.5,309.5,310.0,281541.0,309.4801330566406
2020-01-22,322.5,310.5,310.5,318.0,406420.0,317.4667053222656
2020-01-23,318.5,310.0,318.0,311.0,322423.0,310.47845458984375
2020-01-24,323.5,312.0,313.0,318.5,360105.0,317.96588134765625
2020-01-27,314.5,307.0,314.0,313.5,374944.0,312.9742431640625
2020-01-28,317.0,298.0,313.5,305.0,751431.0,304.4884948730469
2020-01-29,306.5,302.0,305.0,303.0,257146.0,302.49188232421875
2020-01-30,305.0,298.5,304.0,298.5,211575.0,297.9994201660156
2020-01-31,304.5,295.5,299.5,298.0,381826.0,297.500244140625
2020-02-03,301.0,287.5,296.0,300.5,354156.0,299.9960632324219
2020-02-04,311.0,301.0,303.0,308.5,620689.0,307.9826354980469
2020-02-05,311.5,305.1499938964844,309.0,310.5,392494.0,309.9792785644531
2020-02-06,313.5,304.5,311.5,307.5,355818.0,306.9843444824219
2020-02-07,312.5,303.0,307.5,303.5,264387.0,302.99102783203125
2020-02-10,315.0,301.5,303.0,314.5,358887.0,313.97259521484375
2020-02-11,329.5,318.0,318.5,329.5,572576.0,328.9474182128906
2020-02-12,381.0,348.0,352.0,378.0,2248407.0,377.3660888671875
2020-02-13,390.0,368.5,380.0,388.5,1064005.0,387.8485107421875
2020-02-14,392.0,381.0,389.0,388.5,567853.0,387.8485107421875
2020-02-17,402.5,390.0,390.0,400.5,595009.0,399.828369140625
2020-02-18,406.5,394.0,401.0,404.5,594048.0,403.8216552734375
2020-02-19,420.5,405.0,406.5,416.0,817382.0,415.3023681640625
2020-02-20,423.0,416.0,416.0,418.5,579549.0,417.79815673828125
2020-02-21,424.0,413.5,416.5,423.0,528159.0,422.2906188964844
2020-02-24,416.5,401.5,415.5,407.0,808516.0,406.3174743652344
2020-02-25,416.0,393.5,406.0,396.5,789665.0,395.8350830078125
2020-02-26,397.0,368.5,390.5,396.0,1151224.0,395.3359069824219
2020-02-27,388.0,352.5,388.0,362.5,1420518.0,361.89208984375
2020-02-28,358.5,328.0,339.0,351.0,1398733.0,350.411376953125
2020-03-02,375.0,354.5,361.0,364.0,1287235.0,363.38958740234375
2020-03-03,381.5,367.0,378.5,375.0,1133834.0,374.3711242675781
2020-03-04,383.0,371.0,375.5,382.0,1001645.0,381.359375
2020-03-05,397.0,367.5,387.0,372.0,1087087.0,371.37615966796875
2020-03-06,372.0,354.5,362.0,372.0,863185.0,371.37615966796875
2020-03-09,367.0,340.0,348.0,363.0,1107728.0,362.3912658691406
2020-03-10,374.5,349.0,363.0,352.0,1147024.0,351.4096984863281
2020-03-11,356.5,341.0,353.0,343.0,1079846.0,342.4248046875
2020-03-12,328.0,314.5,320.0,320.0,1921846.0,319.46337890625
2020-03-13,356.0,320.0,320.0,327.5,2228862.0,326.9508056640625
2020-03-16,336.0,308.5,310.0,328.0,2231191.0,327.449951171875
